Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
163,Shai Gilgeous-Alexander,PG,24,OKC,66,66,35.5,10.4,20.4,0.51,0.8,2.4,0.346,9.6,18,0.532,0.53,9.9,10.9,0.908,0.8,4,4.8,5.4,1.7,1,2.8,2.8,31.5
164,Anthony Gill,PF,30,WAS,55,5,9.9,1.1,2,0.559,0.1,0.4,0.13,1.1,1.6,0.67,0.572,0.8,1,0.786,0.6,1,1.6,0.5,0.1,0.2,0.2,1.1,3.1
165,Rudy Gobert,C,30,MIN,67,67,30.9,5.2,7.9,0.658,0,0,0,5.2,7.9,0.662,0.658,3.2,5,0.648,3.4,8.4,11.7,1.2,0.8,1.3,1.8,3.1,13.7
166,Jordan Goodwin,PG,24,WAS,58,4,17.2,2.4,5.2,0.451,0.6,1.7,0.33,1.8,3.5,0.51,0.505,0.8,1.1,0.762,0.9,2.3,3.2,2.5,0.9,0.4,0.8,1.5,6.1
167,Aaron Gordon,PF,27,DEN,66,66,30.2,6.3,11.2,0.564,0.9,2.6,0.347,5.4,8.6,0.628,0.603,2.8,4.7,0.612,2.4,4.1,6.6,3,0.8,0.7,1.5,1.9,16.4
168,Eric Gordon,SG,34,TOT,66,55,28.8,4.3,9.6,0.45,1.9,5.1,0.374,2.4,4.5,0.537,0.55,2.2,2.6,0.821,0.2,1.7,2,2.7,0.6,0.4,1.5,1.1,12.7
168,Eric Gordon,SG,34,HOU,47,47,30.2,4.5,10.2,0.439,1.8,5.2,0.347,2.7,5,0.536,0.528,2.3,2.9,0.815,0.3,1.8,2.1,2.9,0.6,0.4,1.8,1,13.1
168,Eric Gordon,SG,34,LAC,19,8,25.5,3.9,8.1,0.484,2.2,4.8,0.446,1.7,3.2,0.541,0.618,1.7,2,0.842,0.2,1.5,1.7,2.2,0.6,0.4,0.9,1.6,11.6
169,Devonte' Graham,PG,27,TOT,72,7,18.2,2.2,5.9,0.374,1.6,4.6,0.351,0.6,1.3,0.456,0.512,1.3,1.8,0.752,0.3,1.4,1.7,2.7,0.6,0.2,0.7,1.1,7.4
169,Devonte' Graham,PG,27,NOP,53,0,15.3,1.6,4.4,0.368,1.2,3.6,0.347,0.4,0.8,0.463,0.511,0.8,1.1,0.746,0.2,1.1,1.4,2.2,0.6,0.2,0.5,0.9,5.3
