Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Column1,OWS,DWS,WS,WS/48,2,OBPM,DBPM,BPM,VORP
182,Rui Hachimura,PF,24,WAS,30,728,13.6,0.558,0.275,0.179,3,16.1,9.8,7.3,0.7,1.4,9.3,23.1,,0,0.6,0.6,0.039,,-1.2,-1.4,-2.6,-0.1
100,Xavier Cooks,PF,27,WAS,6,22,10.4,1,0,0,15.9,19.5,17.8,11.6,0,3.8,60,9.9,,0,0,0,0.039,,-4,-0.1,-4.1,0
444,Dennis Smith Jr.,PG,25,CHO,54,1390,11.6,0.475,0.246,0.235,2,11,6.4,26,2.6,1.6,14.1,17.6,,-0.4,1.5,1.1,0.038,,-3.5,1.2,-2.3,-0.1
501,Russell Westbrook,PG,34,TOT,70,2040,15.7,0.51,0.291,0.32,4.3,16.9,10.8,38.8,1.7,1.3,18.6,27.7,,-0.9,2.5,1.6,0.038,,0,-0.1,-0.1,1
319,Doug McDermott,SF,31,SAS,63,1308,11.3,0.596,0.57,0.136,1.9,10,5.7,9.9,0.5,0.4,9.6,19.2,,1,0,1,0.038,,-0.6,-2.5,-3.2,-0.4
185,R.J. Hampton,PG,21,TOT,43,665,10.4,0.553,0.495,0.35,2.7,9.7,6.1,10.7,1.9,0.8,14.4,17.9,,0,0.5,0.5,0.037,,-2.7,-0.4,-3,-0.2
418,Terry Rozier,SG,28,CHO,63,2221,14.7,0.517,0.425,0.185,2.4,10.2,6.2,22.6,1.6,0.6,9.4,26.8,,0.1,1.6,1.7,0.037,,0.6,-1.2,-0.6,0.8
267,Kevin Knox,PF-SF,23,TOT,59,834,10.7,0.579,0.576,0.159,4.1,17.3,10.5,5,1.3,1.3,12.4,17.3,,0.1,0.5,0.6,0.037,,-2.3,-1,-3.2,-0.3
435,Shaedon Sharpe,SG,19,POR,77,1684,11.2,0.572,0.436,0.16,4,10.9,7.4,7.1,1,1.3,10.5,18.3,,0.7,0.7,1.3,0.037,,-1.5,-1.9,-3.4,-0.6
289,Nassir Little,SF,22,POR,54,976,10.3,0.555,0.521,0.152,3.2,13.5,8.3,7.3,1,1.8,10,16,,0.3,0.5,0.7,0.036,,-1.6,-1.4,-3,-0.3
360,Kendrick Nunn,PG,27,WAS,27,349,12.9,0.567,0.507,0.08,2.3,9.8,6.2,16.9,2,0.2,14.8,22.8,,0,0.3,0.3,0.035,,-1.2,-1.2,-2.4,0
217,Caleb Houstan,SF,20,ORL,48,722,5.7,0.501,0.742,0.084,4.9,10,7.5,4.7,0.5,0.8,9.1,10.5,,0.1,0.5,0.5,0.035,,-3.3,-0.9,-4.2,-0.4
481,Gabe Vincent,PG,26,MIA,64,1672,8.8,0.534,0.618,0.144,1.8,8,4.8,13.6,1.8,0.3,13.8,17.5,,-0.4,1.6,1.2,0.034,,-3.3,-0.3,-3.6,-0.7
277,Romeo Langford,SG,23,SAS,40,793,10.7,0.527,0.235,0.198,7.2,8.1,7.6,8,1.3,1.4,8.8,15.4,,0.4,0.2,0.6,0.034,,-2.4,-1.5,-3.8,-0.4
121,Ousmane Dieng,SF,19,OKC,36,514,8.9,0.496,0.543,0.105,3.5,16.8,10,9,1.2,1.1,10.6,15.4,,-0.2,0.5,0.4,0.034,,-3.4,-0.5,-4,-0.3
168,Eric Gordon,SG,34,HOU,47,1418,11.4,0.572,0.513,0.282,0.9,6.7,3.8,13.9,1,1.2,13.4,18.2,,1,0,1,0.034,,-0.9,-1.7,-2.6,-0.2
409,Duncan Robinson,SF,28,MIA,39,623,7.7,0.533,0.816,0.123,1.5,10.5,5.8,9.4,1,0,9.7,17.6,,0,0.5,0.4,0.034,,-3.3,-1.5,-4.8,-0.4
460,Terry Taylor,PF,23,TOT,29,237,9.7,0.535,0.279,0.103,10.8,8,9.4,5.7,0.6,1.8,11.2,14.2,,0.1,0.1,0.2,0.034,,-2.9,-1.8,-4.6,-0.2
112,JD Davison,PG,20,BOS,10,27,11.9,0.423,0.308,0,4.1,20,12.1,32.6,3.6,0,13.3,24.3,,0,0.1,0,0.033,,-7.5,2.5,-5,0
61,Dillon Brooks,SF,27,MEM,71,2145,9.4,0.492,0.439,0.154,2.1,9.5,5.8,11.9,1.4,0.6,8.9,21.8,,-0.8,2.3,1.5,0.033,,-3.5,-0.5,-3.9,-1.1
417,Terrence Ross,SG,31,ORL,42,944,8.6,0.543,0.535,0.067,1.2,9,5.1,8.1,1.3,0.8,10.7,15.7,,-0.1,0.8,0.6,0.033,,-2.6,-0.4,-3.1,-0.2
6,Nickeil Alexander-Walker,SG,24,MIN,20,308,8.9,0.486,0.556,0.194,2.2,11.8,7.1,11.6,0.9,1.4,6.4,17.4,,0,0.3,0.2,0.033,,-2.8,-0.8,-3.5,-0.1
95,Amir Coffey,SG,25,LAC,49,624,7.1,0.498,0.276,0.434,3.1,6.4,4.8,11.2,0.6,0.7,10.8,13.6,,0.1,0.3,0.4,0.033,,-4.4,-0.7,-5,-0.5
243,Keldon Johnson,SF,23,SAS,62,2031,15.4,0.553,0.366,0.298,2.9,14.5,8.5,13.7,1,0.4,9.7,27.8,,0.8,0.5,1.3,0.031,,0.7,-2.5,-1.8,0.1
447,Jabari Smith Jr.,PF,19,HOU,76,2351,11,0.511,0.45,0.225,5.4,20.5,12.9,6.1,0.8,2.9,9.6,18.4,,0.3,1.2,1.5,0.031,,-2.4,-1.4,-3.8,-1.1
371,Eugene Omoruyi,SF,25,DET,15,333,10.9,0.53,0.418,0.328,6.1,11.7,8.8,6.4,1.6,0.8,9.7,19.7,,0.1,0.2,0.2,0.03,,-3.2,-1.4,-4.6,-0.2
215,Talen Horton-Tucker,SG,22,UTA,64,1276,13.7,0.511,0.336,0.262,3.4,14,8.7,27.5,1.5,1.8,15.8,25.7,,-0.2,1.1,0.8,0.03,,-1,-0.5,-1.5,0.2
401,Cam Reddish,SF,23,POR,20,552,10.7,0.563,0.5,0.239,2.3,9.6,6,9.6,2.1,1,14.1,17.9,,0,0.3,0.3,0.029,,-3,-1.3,-4.3,-0.3
283,Alex Len,C,29,SAC,22,107,10.2,0.563,0.083,0.417,10.8,27.5,19.3,9.6,1.3,4.9,29.7,16.2,,-0.1,0.2,0.1,0.029,,-6.4,1.1,-5.2,-0.1
174,Jalen Green,SG,20,HOU,73,2498,14.4,0.538,0.412,0.345,1.8,10.4,6,17.1,1.1,0.7,11.5,28.1,,1.2,0.3,1.5,0.029,,0.4,-2.7,-2.2,-0.1
53,Jamaree Bouyea,PG,23,MIA,4,65,7.8,0.54,0.385,0.154,1.7,7.5,4.5,8.6,3.1,3.1,22.4,12.2,,-0.1,0.1,0,0.028,,-4.9,2,-3,0
